year,fips,Median_Household_Income_in_Dollars,All_Ages_in_Poverty_Percent
1997,1073,"$35,464",14.5
1996,1073,NA,NA
1995,1073,"$32,632",16
1993,1073,"$28,257",18.6
1989,1073,"$24,448",17.3
2015,1075,"$36,520",24.7
2014,1075,"$34,553",20.6
2013,1075,"$36,475",23
2012,1075,"$33,940",22.5
2011,1075,"$34,731",22.1
2010,1075,"$32,993",21.5
2009,1075,"$31,226",18.2
2008,1075,"$32,424",18.2
2007,1075,"$32,893",18.5
2006,1075,"$31,891",18.4
2005,1075,"$30,373",17
2004,1075,"$29,337",16.8
2003,1075,"$28,913",16.1
2002,1075,"$28,243",16.6
2001,1075,"$28,608",17.2
2000,1075,"$29,396",16.1
1999,1075,"$28,273",16.5
1998,1075,"$28,262",17.3
1997,1075,"$26,867",18
1996,1075,NA,NA
1995,1075,"$25,876",18
1993,1075,"$23,369",17.9
1989,1075,"$21,093",15.7
2015,1077,"$43,008",17.3
2014,1077,"$41,324",18.7
2013,1077,"$43,586",17.1
2012,1077,"$41,536",20.2
2011,1077,"$40,195",16.4
2010,1077,"$39,213",17.6
2009,1077,"$39,096",14.5
2008,1077,"$38,592",17
2007,1077,"$37,981",18.1
2006,1077,"$37,801",17.1
2005,1077,"$33,448",18.5
2004,1077,"$35,166",16.2
2003,1077,"$34,422",15.6
2002,1077,"$33,231",15.1
2001,1077,"$33,426",14.7
2000,1077,"$34,032",12.7
1999,1077,"$32,968",13.1
1998,1077,"$33,447",13.5
1997,1077,"$33,204",13.3
1996,1077,NA,NA
1995,1077,"$31,663",13.5
1993,1077,"$28,181",13.9
1989,1077,"$23,755",13.5
2015,1079,"$41,771",18.7
2014,1079,"$41,574",16.6
2013,1079,"$40,713",17.4
2012,1079,"$38,524",20
2011,1079,"$38,132",18
2010,1079,"$37,365",18.1
2009,1079,"$36,311",16.2
2008,1079,"$40,655",15
2007,1079,"$39,248",15
2006,1079,"$37,501",14.6
2005,1079,"$37,871",16
2004,1079,"$34,998",14.7
2003,1079,"$34,195",14.4
2002,1079,"$32,505",14.4
2001,1079,"$33,159",15.1
2000,1079,"$33,794",14
1999,1079,"$32,579",14.7
1998,1079,"$34,180",15.2
1997,1079,"$31,609",15.7
1996,1079,NA,NA
1995,1079,"$29,765",16.6
1993,1079,"$25,538",17.8
1989,1079,"$21,579",16.5
2015,1081,"$46,442",21
2014,1081,"$41,256",25.2
2013,1081,"$44,647",19.8
2012,1081,"$43,182",23
2011,1081,"$42,539",21.4
2010,1081,"$40,102",21.3
2009,1081,"$37,836",20.7
2008,1081,"$41,770",15.5
2007,1081,"$39,719",17.3
2006,1081,"$37,568",18.7
2005,1081,"$35,320",20.6
2004,1081,"$34,660",16
2003,1081,"$33,550",15.2
2002,1081,"$32,460",15.2
2001,1081,"$32,200",15.6
2000,1081,"$32,678",14.2
1999,1081,"$31,942",14.2
1998,1081,"$33,449",14.6
1997,1081,"$31,821",15
1996,1081,NA,NA
1995,1081,"$29,288",17.8
1993,1081,"$27,622",18.5
1989,1081,"$23,594",15.5
2015,1083,"$55,060",14.3
2014,1083,"$51,175",13.6
2013,1083,"$50,148",15.9
2012,1083,"$49,616",12.8
2011,1083,"$46,760",13.9
2010,1083,"$49,667",14.1
2009,1083,"$46,610",13.5
2008,1083,"$46,151",12.1
2007,1083,"$46,753",12.6
2006,1083,"$44,253",14
2005,1083,"$40,745",13
2004,1083,"$41,830",12.7
2003,1083,"$40,901",11.9
2002,1083,"$38,859",12.4
2001,1083,"$38,473",12.7
2000,1083,"$38,984",12.2
1999,1083,"$37,427",13.1
1998,1083,"$38,262",13
1997,1083,"$35,981",13.5
1996,1083,NA,NA
1995,1083,"$33,974",13.8
1993,1083,"$31,082",14.6
1989,1083,"$26,176",13.3
2015,1085,"$31,117",35.2
2014,1085,"$30,675",31.4
2013,1085,"$29,734",37
2012,1085,"$28,544",26.6
2011,1085,"$28,043",27.1
2010,1085,"$28,754",30.7
2009,1085,"$28,100",28.8
2008,1085,"$30,225",25.4
2007,1085,"$28,530",30
2006,1085,"$26,390",28
2005,1085,"$25,590",29.5
2004,1085,"$24,967",25.5
2003,1085,"$24,090",23.5
2002,1085,"$23,300",24
2001,1085,"$23,546",25.3
2000,1085,"$24,089",24.3
1999,1085,"$22,696",25.8
1998,1085,"$21,095",28.9
1997,1085,"$20,285",31.5
1996,1085,NA,NA
1995,1085,"$18,283",35
1993,1085,"$16,325",36.3
1989,1085,"$13,301",39
2015,1087,"$29,522",32.2
2014,1087,"$28,518",32.1
2013,1087,"$29,228",33.8
2012,1087,"$27,709",33.1
2011,1087,"$27,591",30.9
2010,1087,"$27,041",31.2
2009,1087,"$26,328",38.6
2008,1087,"$27,314",30.5
2007,1087,"$27,011",29.6
2006,1087,"$24,467",30.2
2005,1087,"$23,500",32
2004,1087,"$23,378",28.3
2003,1087,"$22,594",26
2002,1087,"$21,621",28
2001,1087,"$21,720",28.5
2000,1087,"$22,274",27.6
1999,1087,"$21,558",27.1
1998,1087,"$22,410",29.6
1997,1087,"$21,469",31.9
1996,1087,NA,NA
1995,1087,"$19,783",34.4
1993,1087,"$18,506",35.3
1989,1087,"$15,374",34.1
2015,1089,"$59,117",13.3
2014,1089,"$58,833",14.2
2013,1089,"$58,258",13.9
2012,1089,"$57,072",12.6
2011,1089,"$55,298",13.8
2010,1089,"$54,633",12.7
2009,1089,"$57,327",10.3
2008,1089,"$55,324",11.3
2007,1089,"$52,870",11.3
2006,1089,"$51,434",11.2
2005,1089,"$50,522",10.3
2004,1089,"$49,441",11.7
2003,1089,"$48,719",10.9
2002,1089,"$46,937",10.4
2001,1089,"$46,036",10.4
2000,1089,"$45,736",10.1
1999,1089,"$43,718",11.1
1998,1089,"$45,339",10.7
1997,1089,"$43,239",11
1996,1089,NA,NA
1995,1089,"$41,855",11.6
1993,1089,"$39,713",12.9
1989,1089,"$33,565",11
2015,1091,"$35,389",23.3
2014,1091,"$32,977",25.6
2013,1091,"$33,749",31.5
2012,1091,"$31,888",26.5
2011,1091,"$31,995",24.6
2010,1091,"$33,085",23.6
2009,1091,"$31,867",24.9
2008,1091,"$32,381",22.6
2007,1091,"$32,747",20
2006,1091,"$30,515",26.2
2005,1091,"$29,635",25.2
2004,1091,"$29,138",21.3
2003,1091,"$28,815",20.2
2002,1091,"$28,080",19.8
2001,1091,"$27,684",21.3
2000,1091,"$28,060",20.5
1999,1091,"$26,926",21.8
1998,1091,"$26,846",22.5
1997,1091,"$25,504",23.9
1996,1091,NA,NA
1995,1091,"$23,722",27.3
1993,1091,"$21,730",28.4
1989,1091,"$18,240",28.9
2015,1093,"$34,977",19.8
2014,1093,"$37,707",20.2
2013,1093,"$34,162",20.8
2012,1093,"$32,237",22.2
2011,1093,"$30,926",25.6
2010,1093,"$32,080",20.9
2009,1093,"$32,317",21.2
2008,1093,"$31,602",19.6
2007,1093,"$32,752",19.7
2006,1093,"$32,792",17.1
2005,1093,"$29,800",18.4
2004,1093,"$28,781",17.9
2003,1093,"$27,227",16.8
2002,1093,"$26,774",18.5
2001,1093,"$27,264",19.8
2000,1093,"$28,247",16.9
1999,1093,"$27,643",15.6
1998,1093,"$28,627",16
1997,1093,"$26,919",16
1996,1093,NA,NA
1995,1093,"$25,960",16.7
1993,1093,"$22,855",18
1989,1093,"$20,098",16.4
2015,1095,"$40,599",20.1
2014,1095,"$36,536",22
2013,1095,"$38,399",18.1
2012,1095,"$36,960",21.5
2011,1095,"$38,876",19.1
2010,1095,"$38,859",19.4
2009,1095,"$37,506",19.1
2008,1095,"$36,981",18
2007,1095,"$36,931",19.6
2006,1095,"$37,142",17.5
2005,1095,"$34,668",18.7
2004,1095,"$34,855",15.8
2003,1095,"$33,756",15.2
2002,1095,"$32,971",15.6
2001,1095,"$32,541",15.7
2000,1095,"$32,470",14.3
1999,1095,"$31,274",15
1998,1095,"$31,153",15.6
1997,1095,"$29,610",15
1996,1095,NA,NA
1995,1095,"$28,481",14.8
1993,1095,"$26,114",14.7
1989,1095,"$21,850",13.8
2015,1097,"$42,530",18.4
2014,1097,"$42,943",19.6
2013,1097,"$42,278",20.3
2012,1097,"$39,546",21
2011,1097,"$41,867",19.7
2010,1097,"$39,753",20.5
2009,1097,"$39,828",18.7
2008,1097,"$40,951",18.6
2007,1097,"$37,575",20.8
2006,1097,"$38,188",19.1
2005,1097,"$36,143",20
2004,1097,"$33,191",20
2003,1097,"$32,850",18.5
2002,1097,"$32,393",18.6
2001,1097,"$33,087",18.3
2000,1097,"$34,685",17.1
1999,1097,"$32,396",18.3
1998,1097,"$31,430",19
1997,1097,"$29,943",20.1
1996,1097,NA,NA
1995,1097,"$27,872",23.2
1993,1097,"$25,599",24.3
1989,1097,"$21,923",22.6
2015,1099,"$35,163",28.6
2014,1099,"$34,733",25.3
2013,1099,"$32,696",29.7
2012,1099,"$36,221",21.1
2011,1099,"$31,072",28.7
2010,1099,"$31,744",28.4
2009,1099,"$30,920",23.4
2008,1099,"$34,072",21.8
2007,1099,"$32,367",23.6
2006,1099,"$32,163",22
2005,1099,"$30,964",22.3
2004,1099,"$30,228",18.5
2003,1099,"$29,027",17.8
2002,1099,"$28,463",18.3
2001,1099,"$28,951",19.2
2000,1099,"$29,802",18.8
1999,1099,"$28,650",20
1998,1099,"$28,942",20.5
1997,1099,"$28,061",21.6
1996,1099,NA,NA
1995,1099,"$27,061",21.2
1993,1099,"$24,259",21.6
1989,1099,"$19,867",21.7
2015,1101,"$42,666",22.8
2014,1101,"$43,054",22.5
2013,1101,"$44,013",22.1
2012,1101,"$41,430",21.7
2011,1101,"$42,962",23.2
2010,1101,"$41,556",21.3
2009,1101,"$41,084",19.9
2008,1101,"$43,297",17.6
2007,1101,"$41,199",18.1
2006,1101,"$40,922",18.6
2005,1101,"$39,749",17.4
2004,1101,"$35,680",19.4
2003,1101,"$35,592",18
2002,1101,"$35,406",17.4
2001,1101,"$35,923",17.3
2000,1101,"$36,918",16
1999,1101,"$35,249",16.9
1998,1101,"$36,008",17
1997,1101,"$34,569",17.6
1996,1101,NA,NA
1995,1101,"$31,503",19.6
1993,1101,"$29,832",20.4
1989,1101,"$25,502",18.8
2015,1103,"$47,234",16.4
2014,1103,"$45,082",15
2013,1103,"$44,079",17.4
2012,1103,"$44,766",16.2
2011,1103,"$43,615",16.8
2010,1103,"$44,859",14.1
2009,1103,"$40,317",15.9
2008,1103,"$46,284",12.5
2007,1103,"$43,619",14.2
2006,1103,"$40,681",16
2005,1103,"$41,339",14
2004,1103,"$40,978",14
2003,1103,"$39,965",13.2
2002,1103,"$38,979",12.3
2001,1103,"$38,932",12.4
2000,1103,"$39,515",11.1
1999,1103,"$37,491",11.7
1998,1103,"$38,381",11.3
1997,1103,"$36,984",11.4
1996,1103,NA,NA
1995,1103,"$35,829",12.1
1993,1103,"$33,226",12.9
1989,1103,"$28,343",11.5
2015,1105,"$26,218",40
2014,1105,"$27,403",46.9
2013,1105,"$25,461",36.4
2012,1105,"$25,215",36.6
2011,1105,"$22,175",33
2010,1105,"$24,742",39.5
2009,1105,"$24,351",31
2008,1105,"$26,513",31.7
2007,1105,"$24,132",32.7
2006,1105,"$22,637",32.3
2005,1105,"$22,109",34.9
2004,1105,"$21,640",30.4
2003,1105,"$20,630",28.7
2002,1105,"$19,876",32.3
2001,1105,"$20,073",33.2
2000,1105,"$20,969",31
1999,1105,"$20,167",30.8
1998,1105,"$18,880",33.3
1997,1105,"$18,069",36.6
1996,1105,NA,NA
1995,1105,"$17,324",41.3
1993,1105,"$14,469",42.4
1989,1105,"$11,248",49
2015,1107,"$33,160",24.3
2014,1107,"$31,933",25
2013,1107,"$32,314",23.8
2012,1107,"$31,433",23.4
2011,1107,"$31,079",26.5
2010,1107,"$31,032",24.4
2009,1107,"$29,677",28
2008,1107,"$31,053",25.6
2007,1107,"$31,497",22.2
2006,1107,"$29,737",23
2005,1107,"$28,578",23.3
2004,1107,"$27,737",20.8
2003,1107,"$26,895",19.5
2002,1107,"$26,200",19.7
2001,1107,"$26,521",20.4
2000,1107,"$27,065",20.1
1999,1107,"$25,847",21.3
1998,1107,"$25,573",22.1
1997,1107,"$24,567",23.5
1996,1107,NA,NA
1995,1107,"$23,568",25.7
1993,1107,"$20,448",25.7
1989,1107,"$17,165",25.2
2015,1109,"$34,442",25.9
2014,1109,"$31,844",26.4
2013,1109,"$35,944",25.3
2012,1109,"$32,411",26.7
2011,1109,"$32,345",25.6
2010,1109,"$32,771",30
2009,1109,"$31,229",27.6
2008,1109,"$32,284",22.5
2007,1109,"$25,817",27
2006,1109,"$29,269",28.1
2005,1109,"$27,581",28.6
2004,1109,"$28,077",21.4
2003,1109,"$26,615",20.4
2002,1109,"$25,630",22.2
2001,1109,"$25,621",23.2
2000,1109,"$26,317",21.8
1999,1109,"$25,318",21
1998,1109,"$25,178",23.1
1997,1109,"$23,915",24.6
1996,1109,NA,NA
1995,1109,"$23,020",25.5
1993,1109,"$21,112",25.6
1989,1109,"$17,732",25.7
2015,1111,"$37,333",18.7
2014,1111,"$36,939",20.4
2013,1111,"$35,121",23.4
2012,1111,"$35,024",22.8
2011,1111,"$34,517",22.1
2010,1111,"$32,584",24.8
2009,1111,"$33,869",21.1
2008,1111,"$34,185",17.3
2007,1111,"$34,352",20.9
2006,1111,"$32,984",17.5
2005,1111,"$32,974",19.2
2004,1111,"$30,973",16.1
2003,1111,"$29,435",15.7
2002,1111,"$28,546",17.2
2001,1111,"$28,276",18.4
2000,1111,"$29,048",16.7
1999,1111,"$27,966",16.8
1998,1111,"$27,649",17.5
1997,1111,"$25,882",18.6
1996,1111,NA,NA
1995,1111,"$24,057",19.6
1993,1111,"$22,639",18.5
1989,1111,"$18,853",17.6
2015,1113,"$36,124",23
2014,1113,"$35,585",20.9
2013,1113,"$35,762",23.9
2012,1113,"$34,310",23.6
2011,1113,"$32,632",20.1
2010,1113,"$32,733",24.1
2009,1113,"$33,537",19.9
2008,1113,"$28,855",23.3
2007,1113,"$33,546",21.2
2006,1113,"$30,627",23.9
2005,1113,"$30,155",20
2004,1113,"$29,680",19.4
2003,1113,"$28,547",18.6
2002,1113,"$27,981",18.6
2001,1113,"$28,042",18.8
2000,1113,"$28,641",17.1
1999,1113,"$27,755",17.9
1998,1113,"$29,430",18
1997,1113,"$28,141",18.6
1996,1113,NA,NA
1995,1113,"$26,570",19.4
1993,1113,"$23,877",20.4
1989,1113,"$20,247",19.8
2015,1115,"$53,558",12.4
2014,1115,"$50,571",14.3
2013,1115,"$52,437",14
2012,1115,"$50,989",15.8
2011,1115,"$48,040",17.3
2010,1115,"$48,296",13
2009,1115,"$45,601",13.8
2008,1115,"$48,804",12.6
2007,1115,"$50,046",11.6
2006,1115,"$45,549",10.4
2005,1115,"$45,416",13.2
2004,1115,"$41,086",13.1
2003,1115,"$38,713",13.1
2002,1115,"$37,381",13.7
2001,1115,"$36,820",14.1
2000,1115,"$37,513",12.8
1999,1115,"$36,198",13.2
1998,1115,"$35,828",13.2
1997,1115,"$33,812",13.9
1996,1115,NA,NA
1995,1115,"$32,647",14.4
1993,1115,"$28,242",16.2
1989,1115,"$24,336",13.7
2015,1117,"$70,879",8.5
2014,1117,"$69,432",9.6
2013,1117,"$68,718",8.3
2012,1117,"$67,244",8.7
2011,1117,"$66,362",8.1
2010,1117,"$67,135",9.8
2009,1117,"$65,408",6.9
2008,1117,"$71,785",5.8
2007,1117,"$67,031",6.9
2006,1117,"$66,476",7.2
2005,1117,"$61,563",6.3
2004,1117,"$61,972",7
2003,1117,"$60,894",6.8
2002,1117,"$61,393",6.5
2001,1117,"$59,840",6.9
2000,1117,"$59,451",6.4
1999,1117,"$56,634",6.8
1998,1117,"$55,470",6.5
1997,1117,"$52,450",6.8
1996,1117,NA,NA
1995,1117,"$51,443",7.1
1993,1117,"$44,889",8.1
1989,1117,"$36,980",7.7
2015,1119,"$25,931",33.2
2014,1119,"$25,413",38.1
2013,1119,"$24,504",38
2012,1119,"$24,059",36.5
2011,1119,"$23,531",39.1
2010,1119,"$25,586",31.3
2009,1119,"$22,857",35.1
2008,1119,"$24,221",32.9
2007,1119,"$23,439",35
2006,1119,"$23,130",30.8
2005,1119,"$21,252",36.6
2004,1119,"$21,189",28.3
2003,1119,"$20,627",26.6
2002,1119,"$19,820",27.9
2001,1119,"$19,769",29.8
2000,1119,"$20,582",28.6
1999,1119,"$20,150",28.5
1998,1119,"$20,605",29.6
1997,1119,"$19,199",33.1
1996,1119,NA,NA
1995,1119,"$17,876",35.9
1993,1119,"$16,185",35.2
1989,1119,"$14,425",37.5
2015,1121,"$37,911",22.4
2014,1121,"$39,999",22.5
2013,1121,"$38,505",19.8
2012,1121,"$34,785",23.3
2011,1121,"$33,856",26.2
2010,1121,"$35,646",22.7
2009,1121,"$37,260",18.9
2008,1121,"$35,487",18.7
2007,1121,"$38,644",18
2006,1121,"$35,524",18.4
2005,1121,"$33,986",19.3
2004,1121,"$34,418",17.8
2003,1121,"$33,191",16.8
2002,1121,"$31,367",17.4
2001,1121,"$30,609",17.9
2000,1121,"$31,457",16.9
1999,1121,"$29,713",17.6
1998,1121,"$27,765",18.6
1997,1121,"$27,147",19.4
1996,1121,NA,NA
1995,1121,"$25,777",20.7
1993,1121,"$23,754",22.3
1989,1121,"$20,464",20.8
2015,1123,"$39,051",21.7
2014,1123,"$36,779",21.3
2013,1123,"$37,747",22.2
2012,1123,"$36,463",23.5
2011,1123,"$37,686",18.8
2010,1123,"$34,440",18.3
2009,1123,"$35,702",17.8
2008,1123,"$35,293",19.5
2007,1123,"$35,801",17.1
2006,1123,"$32,939",18.9
2005,1123,"$32,672",18.2
2004,1123,"$31,464",17.1
2003,1123,"$30,626",16.1
2002,1123,"$29,994",16.3
2001,1123,"$30,052",17.1
2000,1123,"$30,941",15.7
1999,1123,"$29,467",16.2
1998,1123,"$28,711",16.1
1997,1123,"$27,804",16.9
1996,1123,NA,NA
1995,1123,"$26,791",17.4
1993,1123,"$24,637",18
1989,1123,"$21,509",15.7
2015,1125,"$47,868",20
2014,1125,"$46,892",18
2013,1125,"$45,959",17.2
2012,1125,"$41,495",19.5
2011,1125,"$42,086",20.2
2010,1125,"$43,098",18
2009,1125,"$41,842",19.9
2008,1125,"$43,744",17.3
2007,1125,"$41,543",18.6
2006,1125,"$37,952",19.7
2005,1125,"$34,459",20.4
2004,1125,"$36,598",17.2
2003,1125,"$35,268",16.5
2002,1125,"$33,598",16.1
2001,1125,"$33,614",16.1
2000,1125,"$34,294",15.1
1999,1125,"$34,032",15.6
1998,1125,"$33,374",16.2
1997,1125,"$31,029",17
1996,1125,NA,NA
1995,1125,"$28,990",18.4
1993,1125,"$27,329",19.3
1989,1125,"$23,778",18.7
2015,1127,"$37,305",20.6
2014,1127,"$37,245",23.5
2013,1127,"$37,193",22
2012,1127,"$36,600",21
2011,1127,"$35,423",22.1
2010,1127,"$36,044",23.2
2009,1127,"$36,582",16
2008,1127,"$36,221",17.4
2007,1127,"$35,497",19.1
2006,1127,"$35,123",17
2005,1127,"$33,666",15.6
2004,1127,"$32,634",16.2
2003,1127,"$31,298",14.8
2002,1127,"$29,945",15.4
2001,1127,"$29,487",16.2
2000,1127,"$30,313",14.9
1999,1127,"$29,047",14.5
1998,1127,"$29,017",14.5
1997,1127,"$28,254",14.4
1996,1127,NA,NA
1995,1127,"$26,504",16.1
1993,1127,"$23,861",17.7
1989,1127,"$20,838",16.3
2015,1129,"$42,658",22.4
2014,1129,"$41,321",18.5
2013,1129,"$41,115",19.7
2012,1129,"$39,173",21
2011,1129,"$39,203",18.9
2010,1129,"$37,639",19.6
2009,1129,"$36,946",19.3
2008,1129,"$37,076",18.2
2007,1129,"$35,810",18.7
2006,1129,"$33,896",20.1
2005,1129,"$33,001",20.2
2004,1129,"$32,147",18.1
2003,1129,"$31,198",16.9
2002,1129,"$30,541",17.3
2001,1129,"$30,784",17.9
2000,1129,"$31,797",17
1999,1129,"$30,304",18.1
1998,1129,"$30,186",18.9
1997,1129,"$28,549",19
1996,1129,NA,NA
1995,1129,"$26,173",21.2
1993,1129,"$23,367",22.1
1989,1129,"$21,025",20.3
2015,1131,"$23,014",33.2
2014,1131,"$24,035",33.7
2013,1131,"$23,184",32.4
2012,1131,"$22,126",36.5
2011,1131,"$20,990",39.9
2010,1131,"$21,611",39.6
2009,1131,"$22,611",34.6
2008,1131,"$23,090",30.2
2007,1131,"$21,325",35.7
2006,1131,"$19,949",35.5
2005,1131,"$19,407",37.8
2004,1131,"$19,682",30.4
2003,1131,"$19,633",28.1
2002,1131,"$18,455",29.9
2001,1131,"$18,264",30.6
2000,1131,"$18,813",30.6
1999,1131,"$18,421",31.6
1998,1131,"$19,035",33.8
1997,1131,"$17,822",36.1
1996,1131,NA,NA
1995,1131,"$17,255",40
1993,1131,"$14,242",41.3
1989,1131,"$13,401",45.5
2015,1133,"$36,497",18.9
2014,1133,"$35,528",20.1
2013,1133,"$33,578",21.9
2012,1133,"$32,663",26.4
2011,1133,"$31,018",19.8
2010,1133,"$32,574",20.3
2009,1133,"$31,062",24.9
2008,1133,"$32,018",18.3
2007,1133,"$32,986",16
2006,1133,"$31,869",18.7
2005,1133,"$29,320",21.8
2004,1133,"$28,764",17.2
2003,1133,"$27,430",16.9
2002,1133,"$26,918",18.3
2001,1133,"$27,553",19.8
2000,1133,"$28,366",17.6
1999,1133,"$27,548",16.1
1998,1133,"$26,744",15.7
1997,1133,"$25,418",16.8
1996,1133,NA,NA
1995,1133,"$24,947",16.9
1993,1133,"$22,547",16.2
1989,1133,"$19,317",16.1
2015,2000,"$73,391",10.4
2014,2000,"$70,898",11.4
2013,2000,"$70,058",10.1
2012,2000,"$66,503",10.8
2011,2000,"$65,699",10.8
2010,2000,"$63,456",11
2009,2000,"$66,712",9.1
2008,2000,"$67,332",9.2
2007,2000,"$62,854",9.8
2006,2000,"$58,572",10.9
2005,2000,"$55,477",10.8
2004,2000,"$52,141",10
2003,2000,"$52,391",9.8
2002,2000,"$51,844",9.3
2001,2000,"$52,332",8.7
2000,2000,"$51,433",8.5
1999,2000,"$49,133",8.8
1998,2000,"$47,177",10.8
1997,2000,"$43,657",11.2
1996,2000,"$44,797",10.6
1995,2000,"$42,255",10.1
1993,2000,"$39,431",11.2
1989,2000,"$33,885",10.6
2015,2013,"$57,015",17.4
2014,2013,"$55,462",16.2
2013,2013,"$56,856",15.2
2012,2013,"$51,514",15.7
2011,2013,"$51,289",17.8
2010,2013,"$47,077",16.8
2009,2013,"$50,444",13.9
2008,2013,"$52,786",15.3
2007,2013,"$56,111",16.9
2006,2013,"$46,164",15.2
2005,2013,"$47,177",16.8
2004,2013,"$39,828",12.7
2003,2013,"$39,239",11.9
2002,2013,"$38,237",11.2
2001,2013,"$40,779",13.5
2000,2013,"$42,703",12.6
1999,2013,"$39,386",8.9
1998,2013,"$40,350",12.1
1997,2013,"$42,714",14.2
1996,2013,NA,NA
1995,2013,"$46,173",10.3
1993,2013,"$46,829",9.7
1989,2013,NA,NA
2015,2016,"$80,695",8.5
2014,2016,"$68,387",9.9
2013,2016,"$74,088",8.1
2012,2016,"$69,192",9.3
2011,2016,"$59,362",10.1
2010,2016,"$58,517",9
2009,2016,"$58,174",9.1
2008,2016,"$62,849",9
2007,2016,"$61,536",10.2
2006,2016,"$64,142",9.6
2005,2016,"$60,138",9.2
2004,2016,"$50,670",7.4
2003,2016,"$50,367",7.2
2002,2016,"$49,834",6.3
2001,2016,"$51,340",6.3
2000,2016,"$56,365",6.1
1999,2016,"$50,749",5.3
1998,2016,"$45,528",6.2
1997,2016,"$44,745",6.7
1996,2016,NA,NA
1995,2016,"$40,039",6.6
1993,2016,"$42,267",6.8
1989,2016,NA,NA
2015,2020,"$77,791",8.7
2014,2020,"$75,200",10
2013,2020,"$76,362",7.7
2012,2020,"$71,094",9
2011,2020,"$71,237",8.5
2010,2020,"$70,524",9.6
2009,2020,"$72,210",7.6
2008,2020,"$74,396",7.2
2007,2020,"$67,856",8
2006,2020,"$63,392",9.4
2005,2020,"$61,018",9.2
2004,2020,"$56,604",8.9
2003,2020,"$55,197",8.7
2002,2020,"$55,123",7.7
2001,2020,"$53,887",6.9
2000,2020,"$56,690",6.7
1999,2020,"$52,959",7.2
1998,2020,"$53,568",8.7
1997,2020,"$54,245",9.1
1996,2020,NA,NA
1995,2020,"$54,858",8.7
1993,2020,"$50,279",9.4
1989,2020,"$40,761",9.2
2015,2050,"$44,849",24.2
2014,2050,"$45,808",23.8
2013,2050,"$42,876",25.1
2012,2050,"$41,722",27.6
2011,2050,"$43,314",23.5
2010,2050,"$45,481",22.6
2009,2050,"$41,810",20.7
2008,2050,"$41,755",21.5
2007,2050,"$39,519",21.4
2006,2050,"$41,156",21.2
2005,2050,"$45,504",20
2004,2050,"$36,057",20.7
2003,2050,"$35,326",20.7
2002,2050,"$33,544",22.8
2001,2050,"$32,258",22.7
2000,2050,"$33,353",22.2
1999,2050,"$30,489",22.3
1998,2050,"$27,371",31
1997,2050,"$29,628",33.1
1996,2050,NA,NA
1995,2050,"$37,782",30.4
1993,2050,"$30,696",33.2
1989,2050,"$23,163",44
2015,2060,"$66,373",9
2014,2060,"$75,364",9.5
2013,2060,"$65,283",9.5
2012,2060,"$66,178",9.3
2011,2060,"$61,905",9.1
2010,2060,"$62,912",8.8
2009,2060,"$64,418",7.8
2008,2060,"$67,214",7.8
2007,2060,"$62,945",8.5
2006,2060,"$61,445",8.5
2005,2060,"$58,017",9.1
2004,2060,"$57,963",7.6
2003,2060,"$55,876",8.1
2002,2060,"$54,251",8.2
2001,2060,"$53,149",5.5
2000,2060,"$53,828",5.9
1999,2060,"$51,223",5.5
1998,2060,"$56,849",8
1997,2060,"$56,570",8.4
1996,2060,NA,NA
1995,2060,"$60,865",4
1993,2060,"$52,864",6.5
1989,2060,"$31,480",3
2015,2068,"$73,000",6.6
2014,2068,"$69,692",7.1
2013,2068,"$68,103",5.4
2012,2068,"$66,325",6.2
2011,2068,"$68,899",5.8
2010,2068,"$61,004",5.6
2009,2068,"$62,615",4.8
2008,2068,"$70,720",5.4
2007,2068,"$64,565",6.4
2006,2068,"$60,832",6.3
2005,2068,"$58,019",6.6
2004,2068,"$55,983",6
2003,2068,"$52,230",6.7
2002,2068,"$52,900",4.4
2001,2068,"$50,970",4.6
2000,2068,"$53,087",4.8
1999,2068,"$51,335",4
1998,2068,"$49,788",6.2
1997,2068,"$44,065",6.1
1996,2068,NA,NA
1995,2068,"$50,180",5.7
1993,2068,"$50,180",7
2015,2070,"$50,753",20
2014,2070,"$51,082",17.5
2013,2070,"$47,930",20.9
2012,2070,"$47,498",20.7
2011,2070,"$46,427",21.3
2010,2070,"$46,845",20.6
2009,2070,"$46,580",18.5
2008,2070,"$50,827",19.6
2007,2070,"$49,319",21.5
2006,2070,"$47,179",21.1
2005,2070,"$43,991",22.7
2004,2070,"$40,449",17.6
2003,2070,"$40,477",18
2002,2070,"$38,970",19.1
2001,2070,"$39,391",18.8
2000,2070,"$41,007",17.9
1999,2070,"$38,439",18.1
1998,2070,"$35,308",27.1
1997,2070,"$35,094",28.1
1996,2070,NA,NA
1995,2070,"$42,294",17.6
1993,2070,"$38,034",20.5
1989,2070,"$36,084",22.2
2015,2090,"$70,881",8.1
2014,2090,"$67,801",9.5
2013,2090,"$67,204",8.8
2012,2090,"$63,979",9.2
2011,2090,"$64,396",9.5
2010,2090,"$60,472",9.4
2009,2090,"$64,691",7.9
2008,2090,"$65,473",7.5
2007,2090,"$62,155",7.8
2006,2090,"$57,914",9.1
2005,2090,"$55,408",8.9
2004,2090,"$53,085",8
2003,2090,"$52,492",7.7
2002,2090,"$51,553",7
2001,2090,"$50,034",6.7
2000,2090,"$50,354",7
1999,2090,"$46,713",7.4
1998,2090,"$47,552",8.9
